77,X64,KB3116042,OXXYZC2V551009.test.org
78,X64,KB3116042,KXXYZC1V551002.test.org
79,X64,KB3116042,KXXYZC1V551002.test.org
80,X64,KB3116042,OXXYZC1V551001.test.org
81,X64,KB3116040,OXXYZC1V551002.test.org
82,X64,KB3116040,KXXYZC2V551001.test.org
83,X64,KB3116040,OXXYZC2V551909.test.org
84,X64,KB3116040,OXXYZC1V551004.test.org
85,"X64,X86",KB3116040,KXXYZC1V551003.test.org
86,X64,KB4023111,KXXYZC2V551001.test.org
87,X64,KB4023111,KXXYZC2V551002.test.org
88,X64,KB4023111,OXXYZC2V551002.test.org
89,X64,KB4023111,OXXYZC2V551010.test.org
90,X64,KB4023111,OXXYZC2V551009.test.org
91,X64,KB4023111,KXXYZC1V551002.test.org
92,X64,KB4023155,KXXYZC1V551002.test.org
93,X64,KB4023155,OXXYZC1V551001.test.org
94,X64,KB4023155,OXXYZC1V551002.test.org
95,X64,KB4023155,KXXYZC2V551001.test.org
96,X64,KB4023155,OXXYZC2V551909.test.org
97,X64,KB4023155,OXXYZC1V551004.test.org
98,X64,KB4023111,KXXYZC1V551003.test.org
99,X64,KB4460909,KXXYZC2V551001.test.org
100,"X64,X86",KB4460909,KXXYZC2V551002.test.org
101,X64,KB4460909,OXXYZC2V551002.test.org
102,X64,KB4460909,OXXYZC2V551010.test.org
103,X64,KB4460909,OXXYZC2V551009.test.org
104,X64,KB4460909,KXXYZC1V551002.test.org
105,X64,KB4460909,KXXYZC1V551002.test.org
106,X64,KB4460909,OXXYZC1V551001.test.org
108,X64,KB4460909,OXXYZC1V551002.test.org
109,X64,KB4460909,KXXYZC2V551001.test.org
111,"X64,X86",KB4460909,OXXYZC2V551909.test.org
